title,description
Arm Wrestle Challenge,"Verse a non player in an Arm Wrestle"
Honk Hunt,"Get any vehicle to honk their horn"
Hickery Dickery Dock,"Find the closest analogue clock and sing the nursery rhyme hickery dickery dock to claim your points; record video evidence"
Business Card Blitz,"Collect business cards from different locations or people. You have 5 minutes from now to find the first card. Every time you find another card, the timer resets to 5 minutes. The challenge ends when your timer runs out. 1 Band per card. If you find no card, the challenge is vetoed. Desperately needs play-testing^^^"
Instant Veto 1,"UH OH you are forced to wait 7 minutes"
Muffin Man Response,"As discreetly as you can but as loud as you can be, call out Do you know the muffin man? First person to get a non player to respond with either Who lives on Drury Lane? or the muffin man?...YES THE MUFFIN MAN? completes this challenge"
Loop de Loop,"Complete loop de loop: catch any form of public transport to the first stop, jump off and return to the challenge location via any means to collect your points"
Photo Recreation,"Find at least 2 teammates (3 people total) and recreate this photo. Each participating player receives a band"
Leap Frog Relay,"Find at least 2 teammates to play leap frog. Everyone must leap over each other at least twice. Provide video evidence. All participating players receive a band"
Crab Walk to Bench,"Crab walk to the nearest bench including crab hands. Provide video footage"
Sale Outfit Runway,"Find the nearest clothing store that is having a sale. You have 6 minutes from when you enter the store to put an outfit together and model it. You do not need to purchase it. Make a short video advertising your get up"
Human Pyramid,"Find at least 2 teammates and make a human pyramid. Each participant gets a band. Film your attempt"
Dizzy Dash,"Spin as fast as you can for 20 seconds, then run to the nearest street pole that's at least 10m away and back. Film your attempt from your POV"
Wake Up Jeff,"Pretend to be sleeping (upright, seated, or lying down). Only a teammate may physically touch you to wake you up. Each player gets a band"
High-Five Statue,"Pick a location and stand like a statue with your hand out waiting for a high-five. You may stand for up to 8 minutes or until someone high-fives you. You only get a band if someone high-fives you. No veto"
Spelling Bee Shootout,"Find 2 teammates for a Spelling Bee Shootout. Each teammate gets one attempt per word. You may Google a word if you don't know it and use it in a sentence. Between the two of them they must correctly spell 3 of these 5 words: Accommodate, Their, Mourning, Mussel, Leisure. If they succeed, all participating players get a band; if they fail, the challenge is vetoed"
Rock Stack,"You have 5 minutes starting now to create the highest single stack of rocks using rocks found nearby. You must stack at least 3 rocks. 1 band per every 3 rocks"
